Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK,City,State
Builder Floors,3.0,2.0,Furnished,900,Ready to Move,4.0,1000.0,East,1.0,3751000.0," Dwarka Mor, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,2.0,2.0,Semi-Furnished,750,Ready to Move,5.0,900.0,East,1.0,2600000.0,"Dighori, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,2.0,2.0,Unfurnished,894,Ready to Move,13.0,1370.0,,1.0,16000000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,605,Under Construction,27.0,839.0,South-East,3.0,12749866.0,"Majiwada, Thane, Maharashtra",2.0,Thane,Maharashtra
Houses & Villas,3.0,2.0,Unfurnished,510,Ready to Move,1.0,512.0,,0.0,2600000.0,"Bapu Nagar, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Furnished,615,Under Construction,15.0,750.0,East,1.0,18000000.0,"Marol, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Builder Floors,1.0,1.0,Furnished,50,Ready to Move,4.0,50.0,West,1.0,2150000.0,"Nihal Vihar, Delhi, Delhi",1.0,Delhi,Delhi
Houses & Villas,4.0,4.0,Furnished,2400,Ready to Move,1.0,1500.0,North,1.0,14600000.0,"Chakeisaini, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Houses & Villas,4.0,4.0,Semi-Furnished,4500,Ready to Move,3.0,4500.0,South,2.0,35000000.0,"Saltlake Sector II, Kolkata, West Bengal",4.0,Kolkata,West Bengal
Apartments,2.0,2.0,Furnished,1026,Ready to Move,2.0,1215.0,North-East,1.0,6300000.0,"Ambavadi, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Houses & Villas,3.0,2.0,Furnished,800,Ready to Move,1.0,800.0,East,1.0,4000000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,3.0,3.0,Furnished,798,Ready to Move,4.0,1334.0,North-East,1.0,6600000.0,"Sijua Patrapada, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Nishatgani, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Houses & Villas,1.0,3.0,Unfurnished,600,Under Construction,1.0,600.0,North,1.0,2800000.0,"Kalamna Market, Nagpur, Maharashtra",1.0,Nagpur,Maharashtra
Builder Floors,2.0,2.0,Semi-Furnished,450,Ready to Move,4.0,495.0,,1.0,2200000.0,"Uttam Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,2.0,2.0,Semi-Furnished,700,Ready to Move,3.0,1050.0,East,3.0,5100000.0,"Mhalgi Nagar, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Builder Floors,2.0,2.0,Semi-Furnished,700,Ready to Move,3.0,900.0,North,1.0,5500000.0,"Tilak Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Builder Floors,1.0,1.0,Unfurnished,405,Under Construction,14.0,650.0,,1.0,5150000.0,"Ulwe, Navi  Mumbai, Maharashtra",1.0,Navi  Mumbai,Maharashtra
Apartments,1.0,1.0,Semi-Furnished,450,Ready to Move,,900.0,,,1600000.0,"Chander Vihar, Delhi, Delhi",1.0,Delhi,Delhi
Apartments,,1.0,Unfurnished,280,Ready to Move,2.0,350.0,North-East,0.0,1500000.0,"Rutu Park, Thane, Maharashtra",,Thane,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,105,Under Construction,5.0,70.0,South,1.0,2300000.0,"Narol, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,1.0,1.0,Furnished,0,Ready to Move,,0.0,,,5000000.0,"Vasna, Ahmedabad, Gujarat",1.0,Ahmedabad,Gujarat
Apartments,3.0,3.0,Furnished,1404,Ready to Move,4.0,2160.0,North,1.0,15000000.0,"Paldi, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,1.0,1.0,Unfurnished,400,Ready to Move,3.0,540.0,East,,2200000.0,"Kasheli, Thane, Maharashtra",1.0,Thane,Maharashtra
Apartments,2.0,2.0,Unfurnished,123,Ready to Move,10.0,1107.0,North-East,1.0,4200000.0,"Chandkheda, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Houses & Villas,4.0,3.0,Furnished,1550,Ready to Move,1.0,1900.0,North,2.0,92000000.0,"Sadar Bazaar, Nagpur, Maharashtra",4.0,Nagpur,Maharashtra
Builder Floors,2.0,2.0,Semi-Furnished,770,Ready to Move,4.0,855.0,West,1.0,4599999.0,"Vishnu Garden, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,1130,Ready to Move,4.0,1400.0,East,1.0,7500000.0,"Patia, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Houses & Villas,1.0,2.0,Semi-Furnished,700,Ready to Move,1.0,700.0,,1.0,2500000.0,"Paper Mill Colony, Lucknow, Uttar Pradesh",1.0,Lucknow,Uttar Pradesh
Apartments,2.0,3.0,Unfurnished,1200,Under Construction,12.0,1600.0,East,1.0,7000000.0,"Dapoli, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,1.0,1.0,Unfurnished,300,Ready to Move,4.0,500.0,,1.0,3500000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,611,Under Construction,7.0,941.0,,,3764000.0,"Manpada, Thane, Maharashtra",2.0,Thane,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,665,Ready to Move,5.0,956.0,North-West,2.0,6300000.0,"Sijua Patrapada, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,1.0,2.0,Furnished,425,Ready to Move,7.0,740.0,East,1.0,6700000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Furnished,800,Ready to Move,7.0,1050.0,North-East,1.0,28500000.0,"Versova, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,3.0,2.0,Semi-Furnished,1238,Under Construction,4.0,1892.0,East,1.0,11919600.0,"Pathargadia Patia, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,4.0,4.0,Unfurnished,1588,Under Construction,16.0,1618.0,East,1.0,19000000.0,"Kharadi, Pune, Maharashtra",4.0,Pune,Maharashtra
Houses & Villas,2.0,2.0,Unfurnished,708,Ready to Move,,708.0,East,,2350000.0,"Bapu Nagar, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Houses & Villas,4.0,4.0,Furnished,1360,Ready to Move,2.0,2700.0,East,3.0,16000000.0,"Indira Nagar, Lucknow, Uttar Pradesh",4.0,Lucknow,Uttar Pradesh
Apartments,1.0,1.0,Semi-Furnished,350,Ready to Move,3.0,400.0,East,1.0,2100000.0,"Panvel, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,534,Under Construction,7.0,822.0,,,3288000.0,"Kasheli Village, Bhiwandi, Maharashtra",2.0,Bhiwandi,Maharashtra
Apartments,2.0,1.0,Unfurnished,0,Ready to Move,4.0,700.0,North,1.0,1800377.0,"Nagpur City H O, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,468,Under Construction,5.0,586.0,North,0.0,2343600.0,"Tangra, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Houses & Villas,1.0,1.0,Furnished,650,New Launch,1.0,1000.0,East,2.0,2500000.0,"Warje, Pune, Maharashtra",1.0,Pune,Maharashtra
Houses & Villas,3.0,4.0,Semi-Furnished,32,New Launch,4.0,38.0,East,0.0,4200000.0,"Nihal Vihar, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,1.0,1.0,Semi-Furnished,400,Ready to Move,5.0,1100.0,East,0.0,1350000.0,"Pataura Ganj, Lucknow, Uttar Pradesh",1.0,Lucknow,Uttar Pradesh
Apartments,1.0,2.0,Semi-Furnished,430,Ready to Move,7.0,700.0,East,1.0,5200000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,3.0,3.0,Unfurnished,1228,Ready to Move,14.0,1890.0,East,1.0,13000000.0,"Ellis Bridge, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Houses & Villas,3.0,2.0,Unfurnished,700,Under Construction,2.0,1000.0,North-East,1.0,2700000.0,"Bomikhal, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,3.0,2.0,Furnished,320,Ready to Move,12.0,2880.0,North-East,1.0,15000000.0,"Chandkheda, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Builder Floors,1.0,1.0,Semi-Furnished,305,Under Construction,16.0,575.0,East,0.0,2600000.0,"Kurla West, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
,,,,,,,,,,15500000.0,,,,
Apartments,1.0,1.0,Unfurnished,400,New Launch,19.0,674.0,North-East,0.0,4000060.0,"Mumbra Bypass Rd, Thane, Maharashtra",1.0,Thane,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,600,Ready to Move,4.0,700.0,,0.0,2600000.0,"Beleghata, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,3.0,3.0,Furnished,1741,Ready to Move,7.0,1935.0,North,1.0,11000000.0,"Chandkheda, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Unfurnished,799,New Launch,13.0,1186.0,East,1.0,6250006.0,"Market Yard, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,595,Ready to Move,40.0,750.0,North-East,1.0,11000000.0,"Thane West, Thane, Maharashtra",2.0,Thane,Maharashtra
Apartments,1.0,2.0,Unfurnished,405,New Launch,16.0,610.0,West,1.0,7900000.0,"Kurla East,  Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,4.0,4.0,Unfurnished,1819,Under Construction,27.0,2364.0,East,1.0,33500000.0,"Kharadi, Pune, Maharashtra",4.0,Pune,Maharashtra
Apartments,1.0,1.0,Unfurnished,220,Ready to Move,4.0,400.0,East,0.0,2700000.0,"Ulwe, Navi  Mumbai, Maharashtra",1.0,Navi  Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,575,Under Construction,18.0,935.0,North-East,1.0,5100000.0,"Kharghar, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Builder Floors,3.0,3.0,Unfurnished,957,Under Construction,30.0,1400.0,East,1.0,12600000.0,"Majiwada, Thane, Maharashtra",3.0,Thane,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,705,Ready to Move,20.0,1072.0,East,1.0,8995000.0,"Turbhe Sector 24, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,3.0,2.0,Unfurnished,215,Ready to Move,12.0,1935.0,North-East,1.0,8500000.0,"Chandkheda, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Unfurnished,883,Under Construction,4.0,1466.0,East,1.0,6597000.0,"Bankual, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,4.0,4.0,Semi-Furnished,1800,Ready to Move,2.0,2340.0,South-East,1.0,18000000.0,"Raj Nagar, Nagpur, Maharashtra",4.0,Nagpur,Maharashtra
Houses & Villas,4.0,4.0,Furnished,3500,New Launch,2.0,4000.0,East,3.0,11500000.0,"Badapanda Sahi, Dhenkanal, Odisha",4.0,Dhenkanal,Odisha
Houses & Villas,4.0,4.0,Furnished,6800,Ready to Move,3.0,7000.0,,3.0,78000000.0,"Kalyani Nagar, Pune, Maharashtra",4.0,Pune,Maharashtra
Apartments,1.0,1.0,Unfurnished,425,Ready to Move,3.0,685.0,East,1.0,400000.0,"Panvel, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,705,Ready to Move,25.0,1050.0,East,0.0,11500000.0,"Manpada, Thane, Maharashtra",2.0,Thane,Maharashtra
Houses & Villas,2.0,2.0,Unfurnished,550,Ready to Move,3.0,650.0,,,300000.0,"Versova Gaon, Thane, Maharashtra",2.0,Thane,Maharashtra
Apartments,2.0,2.0,Unfurnished,678,Under Construction,5.0,990.0,North,1.0,4800000.0,"Hansapal, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,2.0,3.0,Semi-Furnished,1100,Ready to Move,2.0,1080.0,East,0.0,2350000.0,"Megani Nagar, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,1.0,1.0,Unfurnished,700,Ready to Move,5.0,827.0,North,0.0,6500000.0,"Shukrawar Peth, Pune, Maharashtra",1.0,Pune,Maharashtra
Apartments,4.0,4.0,Unfurnished,1760,Under Construction,30.0,2288.0,East,2.0,23700000.0,"Hadapsar, Pune, Maharashtra",4.0,Pune,Maharashtra
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Kaisarbagh, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Unfurnished,950,Ready to Move,7.0,1034.0,North-East,1.0,4500000.0,"Pahala, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Builder Floors,2.0,1.0,Unfurnished,400,Ready to Move,3.0,450.0,South,0.0,1700000.0,"Topsia, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,2.0,2.0,Unfurnished,761,New Launch,21.0,1065.0,West,1.0,4900000.0,"Magarpatta City, Pune, Maharashtra",2.0,Pune,Maharashtra
Houses & Villas,4.0,,Furnished,110,Ready to Move,4.0,110.0,East,2.0,21000000.0,"Vishnu Garden, Delhi, Delhi",,Delhi,Delhi
Apartments,1.0,2.0,Semi-Furnished,230,Ready to Move,4.0,275.0,West,1.0,2200000.0,"Saraspur, Ahmedabad, Gujarat",1.0,Ahmedabad,Gujarat
Houses & Villas,,,,0,,,0.0,,,1500000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,1.0,1.0,Semi-Furnished,485,Ready to Move,22.0,650.0,East,0.0,6000000.0,"Manpada, Thane, Maharashtra",1.0,Thane,Maharashtra
Apartments,2.0,1.0,Semi-Furnished,560,Ready to Move,,600.0,,2.0,12360000.0,"Andheri West, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Builder Floors,1.0,1.0,Semi-Furnished,400,Ready to Move,4.0,360.0,North,0.0,1499999.0,"Matiala, Delhi, Delhi",1.0,Delhi,Delhi
Apartments,1.0,2.0,Semi-Furnished,450,Ready to Move,4.0,705.0,East,0.0,4500000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,1.0,1.0,Unfurnished,470,,5.0,500.0,North-West,0.0,1950000.0,"Sundarpada, Bhubaneshwar, Odisha",1.0,Bhubaneshwar,Odisha
Apartments,3.0,3.0,Unfurnished,1150,Ready to Move,40.0,1500.0,East,2.0,23900000.0,"Kolshet Road, Thane, Maharashtra",3.0,Thane,Maharashtra
Builder Floors,3.0,3.0,Unfurnished,864,Ready to Move,3.0,864.0,,0.0,5500000.0,"Tilak Nagar, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,760,Ready to Move,19.0,950.0,West,1.0,11000000.0,"Kharghar, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Builder Floors,1.0,2.0,Semi-Furnished,450,Ready to Move,7.0,700.0,East,1.0,5300000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Builder Floors,3.0,3.0,Semi-Furnished,1100,New Launch,2.0,1540.0,West,,8250000.0,"Indira Nagar, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Unfurnished,676,Under Construction,24.0,950.0,East,1.0,7900000.0,"Kolshet, Thane, Maharashtra",2.0,Thane,Maharashtra
Apartments,1.0,1.0,Furnished,450,Under Construction,35.0,650.0,East,1.0,9100000.0,"Juhu, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,3.0,4.0,Semi-Furnished,1950,Ready to Move,65.0,2850.0,West,2.0,68500000.0,"Dadar East, Mumbai, Maharashtra",3.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,700,Ready to Move,21.0,1080.0,,1.0,16500000.0,"Jogeshwari West, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Houses & Villas,1.0,1.0,Unfurnished,250,Ready to Move,1.0,300.0,North,0.0,1500000.0,"Telipura, Nagpur, Maharashtra",1.0,Nagpur,Maharashtra
Apartments,1.0,1.0,Unfurnished,381,Under Construction,32.0,560.0,West,0.0,3700000.0,"Kurla West, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Houses & Villas,4.0,4.0,Unfurnished,5600,Ready to Move,4.0,6600.0,West,3.0,30000000.0,"Tulsipur, Cuttack, Odisha",4.0,Cuttack,Odisha
Houses & Villas,4.0,4.0,Semi-Furnished,2340,Ready to Move,4.0,3600.0,East,1.0,9800000.0,"Shahpur, Ahmedabad, Gujarat",4.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Unfurnished,650,Ready to Move,4.0,1050.0,East,1.0,6700000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Houses & Villas,2.0,1.0,Semi-Furnished,105,Ready to Move,4.0,100.0,South-East,0.0,2500000.0,"Tilak Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,761,New Launch,21.0,1065.0,East,1.0,4900000.0,"Ambegaon, Pune, Maharashtra",2.0,Pune,Maharashtra
Builder Floors,2.0,2.0,Unfurnished,700,Ready to Move,10.0,1200.0,East,1.0,12500000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Builder Floors,3.0,1.0,Furnished,500,Ready to Move,4.0,520.0,South,0.0,1750000.0,"Uttar Panchanan Gram, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Houses & Villas,4.0,2.0,Unfurnished,2253,Ready to Move,1.0,2700.0,East,1.0,35000000.0,"Paldi, Ahmedabad, Gujarat",4.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Unfurnished,800,New Launch,16.0,1250.0,West,1.0,28000000.0,"Bandra West, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,3.0,2.0,Unfurnished,903,Ready to Move,18.0,1075.0,East,1.0,4000000.0,"Thane West, Thane, Maharashtra",3.0,Thane,Maharashtra
Houses & Villas,4.0,4.0,Semi-Furnished,1350,Ready to Move,3.0,3150.0,East,1.0,12500000.0,"Kalinga Nagar Ghatikia, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Unfurnished,800,New Launch,32.0,1150.0,West,1.0,35000000.0,"Prabhadevi, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,930,Ready to Move,4.0,4000.0,East,1.0,4200000.0,"Saradeipur, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Unfurnished,700,New Launch,18.0,1000.0,East,1.0,5500000.0,"NIBM Road Kondhwa, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,1.0,1.0,Unfurnished,550,Ready to Move,4.0,550.0,,0.0,3800000.0,"Kalwa, Thane, Maharashtra",1.0,Thane,Maharashtra
Houses & Villas,2.0,1.0,Unfurnished,1100,Ready to Move,1.0,800.0,West,0.0,4000000.0,"SBI Colony, Cuttack, Odisha",2.0,Cuttack,Odisha
Apartments,3.0,3.0,Furnished,1440,Ready to Move,4.0,1800.0,West,1.0,10000000.0,"Naranpura, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,1.0,1.0,Unfurnished,410,Ready to Move,4.0,660.0,East,0.0,3750000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,3.0,2.0,Semi-Furnished,1100,Ready to Move,6.0,1260.0,West,1.0,12000000.0,"Tangra, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,2.0,2.0,Semi-Furnished,738,Ready to Move,13.0,1210.0,,1.0,6200000.0,"Gota, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,2.0,1.0,Furnished,580,Ready to Move,4.0,620.0,,0.0,1750000.0,"Chowk, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Apartments,3.0,3.0,Furnished,1600,Ready to Move,4.0,1750.0,South,1.0,19000000.0,"Park Circus, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Builder Floors,1.0,1.0,Semi-Furnished,340,Ready to Move,4.0,360.0,East,0.0,1700000.0,"Dwarka Mor, Delhi, Delhi",1.0,Delhi,Delhi
Apartments,1.0,1.0,Unfurnished,445,Ready to Move,6.0,530.0,East,1.0,4800000.0,"Vile Parle West, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,4.0,4.0,Unfurnished,1314,Ready to Move,11.0,1314.0,East,2.0,71000000.0,"Santacruz West, Mumbai, Maharashtra",4.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Furnished,780,Ready to Move,6.0,1067.0,West,1.0,17500000.0,"Kopri Colony, Thane, Maharashtra",2.0,Thane,Maharashtra
Apartments,2.0,2.0,Unfurnished,630,New Launch,14.0,1050.0,West,1.0,18500000.0,"Kurla West,  Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Builder Floors,2.0,2.0,Unfurnished,584,Under Construction,16.0,900.0,East,,12900000.0,"Anushakti Nagar, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,850,Ready to Move,11.0,1000.0,East,1.0,7700000.0,"Sinhagad Road, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,3.0,2.0,Unfurnished,215,Ready to Move,13.0,1935.0,North-East,1.0,8700000.0,"Chandkheda, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,3.0,3.0,Semi-Furnished,1084,Ready to Move,16.0,1786.0,North-East,1.0,37500000.0,"Chembur,  Mumbai, Maharashtra",3.0,Mumbai,Maharashtra
Houses & Villas,3.0,3.0,Furnished,750,Ready to Move,2.0,1900.0,North-East,2.0,6700000.0,"Bomikhal, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Houses & Villas,4.0,4.0,Unfurnished,1250,Ready to Move,2.0,1850.0,South-East,1.0,30000000.0,"Nerul, Navi Mumbai, Maharashtra",4.0,Navi Mumbai,Maharashtra
Builder Floors,4.0,3.0,Semi-Furnished,1330,Ready to Move,4.0,1350.0,East,1.0,7000000.0,"Dwarka Mor, Delhi, Delhi",4.0,Delhi,Delhi
Apartments,1.0,1.0,Semi-Furnished,164,Under Construction,2.0,196.0,North-East,0.0,646800.0,"Beleghata, Kolkata, West Bengal",1.0,Kolkata,West Bengal
Apartments,3.0,2.0,Furnished,240,Ready to Move,10.0,2160.0,North-East,1.0,17500000.0,"Gota, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Houses & Villas,2.0,2.0,Furnished,1200,Ready to Move,1.0,1400.0,East,1.0,5800000.0,"Oblige, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Builder Floors,2.0,2.0,Furnished,900,Ready to Move,4.0,1090.0,North-East,1.0,4400000.0,"Sarvodaya Nagar, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Apartments,3.0,3.0,Unfurnished,771,Under Construction,7.0,1187.0,,,4748000.0,"Kasheli, Thane, Maharashtra",3.0,Thane,Maharashtra
Apartments,1.0,2.0,Furnished,450,Ready to Move,7.0,600.0,East,1.0,3100000.0,"Dadar East, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Builder Floors,3.0,2.0,Unfurnished,677,Ready to Move,1.0,846.0,South-East,0.0,3800000.0,"Picnic Garden, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,2.0,2.0,Unfurnished,675,Ready to Move,4.0,827.0,East,0.0,2000000.0,"Sector 3 Block GA, Bidhannagar, West Bengal",2.0,Bidhannagar,West Bengal
Apartments,1.0,1.0,Semi-Furnished,475,Ready to Move,4.0,475.0,,,2500000.0,"CBD Belapur, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,4.0,4.0,Semi-Furnished,1750,Ready to Move,,1800.0,,1.0,18000000.0,"Kalyani Nagar, Pune, Maharashtra",4.0,Pune,Maharashtra
Apartments,3.0,2.0,Unfurnished,1000,Ready to Move,14.0,1350.0,,,6100000.0,"Naranpura, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Unfurnished,665,Ready to Move,15.0,1039.0,West,1.0,8500000.0,"Kharghar, Navi  Mumbai, Maharashtra",2.0,Navi  Mumbai,Maharashtra
Apartments,1.0,1.0,Unfurnished,2820,New Launch,1.0,2820.0,North,3.0,1750000.0,"Rithala, Delhi, Delhi",1.0,Delhi,Delhi
Builder Floors,2.0,2.0,Unfurnished,556,Under Construction,4.0,788.0,South-West,0.0,30000000.0,"Sreebhumi, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,3.0,3.0,Unfurnished,1686,New Launch,35.0,2000.0,West,2.0,25000000.0,"Shivaji Nagar, Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,2.0,2.0,Furnished,711,Ready to Move,4.0,830.0,North,1.0,2850000.0,"Dixit Nagar, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Houses & Villas,3.0,3.0,Semi-Furnished,1200,Ready to Move,2.0,1400.0,North,1.0,7200000.0,"Oblige, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Unfurnished,806,Under Construction,33.0,1000.0,North,1.0,15900000.0,"Majiwada, Thane, Maharashtra",2.0,Thane,Maharashtra
Houses & Villas,3.0,3.0,Unfurnished,1100,Ready to Move,2.0,1100.0,West,2.0,7700000.0,"Besa, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Apartments,1.0,1.0,Unfurnished,415,Ready to Move,7.0,680.0,North-East,0.0,4500000.0,"Ulwe, Navi  Mumbai, Maharashtra",1.0,Navi  Mumbai,Maharashtra
Apartments,3.0,2.0,Unfurnished,772,Under Construction,10.0,1236.0,East,1.0,6927200.0,"Tomango, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,1.0,1.0,Semi-Furnished,1200,Ready to Move,4.0,65.0,East,1.0,1299999.0,"Bapu Nagar, Ahmedabad, Gujarat",1.0,Ahmedabad,Gujarat
Builder Floors,2.0,1.0,Unfurnished,40,New Launch,1.0,40.0,West,1.0,1700000.0,"Tihar, Delhi, Delhi",2.0,Delhi,Delhi
Builder Floors,2.0,2.0,Furnished,715,Ready to Move,650.0,1015.0,East,1.0,6300000.0,"Pisoli, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,700,Ready to Move,4.0,750.0,East,1.0,3500000.0,"Dwarka Sector 8, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,720,Ready to Move,11.0,821.0,East,1.0,6000000.0,"Vile Parle East, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
