Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK,City,State
Apartments,3.0,2.0,Unfurnished,900,Ready to Move,4.0,1130.0,South-West,1.0,6700000.0,"Picnic Garden, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,2.0,2.0,Unfurnished,950,Ready to Move,11.0,1300.0,East,1.0,5200000.0,"Kondhwa, Pune, Maharashtra",2.0,Pune,Maharashtra
Builder Floors,2.0,2.0,Unfurnished,630,Ready to Move,6.0,900.0,North-West,2.0,2900000.0,"Narsala, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Houses & Villas,3.0,2.0,Semi-Furnished,450,Ready to Move,,850.0,West,,4800000.0,"Indira Nagar, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Houses & Villas,2.0,1.0,Unfurnished,250,Ready to Move,2.0,250.0,East,,1650000.0,"Aman Vihar, Delhi, Delhi",2.0,Delhi,Delhi
Houses & Villas,1.0,1.0,Furnished,200,Ready to Move,2.0,180.0,West,0.0,2200000.0,"Kurla West, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,1.0,1.0,Unfurnished,330,Ready to Move,5.0,450.0,,0.0,2200000.0,"Kurla East, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,1.0,2.0,Unfurnished,403,Under Construction,7.0,621.0,,,2484000.0,"Kalher Village, Bhiwandi, Maharashtra",1.0,Bhiwandi,Maharashtra
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Charbag, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Furnished,85,Ready to Move,14.0,119.0,North-East,1.0,4851000.0,"Ranip, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Builder Floors,2.0,2.0,Unfurnished,553,Under Construction,33.0,900.0,East,1.0,7200000.0,"Mansarovar, Navi  Mumbai, Maharashtra",2.0,Navi  Mumbai,Maharashtra
Houses & Villas,2.0,1.0,Semi-Furnished,450,Ready to Move,4.0,450.0,East,0.0,11000000.0,"Khyala, Delhi, Delhi",2.0,Delhi,Delhi
